iter	Passed	Remaining
374	1272	2120
375	1273	2114
376	1275	2107
377	1276	2100
378	1277	2093
379	1279	2087
380	1281	2082
381	1283	2076
382	1285	2070
383	1286	2063
384	1288	2057
385	1289	2051
386	1290	2044
387	1292	2038
388	1294	2032
389	1296	2028
390	1298	2022
391	1300	2016
392	1301	2010
393	1303	2004
394	1304	1998
395	1305	1991
396	1307	1985
397	1308	1979
398	1311	1975
399	1313	1969
400	1314	1963
401	1315	1957
402	1317	1951
403	1318	1945
404	1320	1939
405	1322	1934
406	1323	1929
407	1326	1924
408	1328	1919
409	1329	1913
410	1331	1907
411	1332	1902
412	1334	1896
413	1335	1890
414	1337	1884
415	1338	1879
416	1341	1875
417	1342	1869
418	1344	1864
419	1345	1858
420	1347	1853
421	1348	1847
422	1350	1842
423	1351	1836
424	1353	1831
425	1355	1826
426	1357	1821
427	1359	1816
428	1360	1810
429	1361	1805
430	1363	1800
431	1364	1794
432	1366	1789
433	1367	1783
434	1369	1778
435	1371	1774
436	1373	1768
437	1374	1763
438	1375	1758
439	1377	1753
440	1379	1748
441	1380	1742
442	1382	1737
443	1383	1733
444	1386	1729
445	1388	1724
446	1389	1719
447	1391	1714
448	1394	1710
449	1396	1707
450	1400	1704
451	1403	1701
452	1405	1697
453	1407	1692
454	1409	1687
455	1411	1683
456	1414	1680
457	1416	1675
458	1417	1671
459	1419	1666
460	1421	1661
461	1423	1657
462	1424	1652
463	1427	1648
464	1429	1644
465	1431	1640
466	1433	1635
467	1434	1630
468	1436	1626
469	1438	1621
470	1439	1617
471	1441	1613
472	1443	1608
473	1445	1604
474	1447	1599
475	1449	1595
476	1451	1590
477	1453	1586
478	1455	1582
479	1456	1578
480	1459	1574
481	1461	1570
482	1463	1566
483	1464	1561
484	1466	1556
485	1467	1552
486	1469	1548
487	1471	1543
488	1474	1540
489	1476	1536
490	1477	1532
491	1479	1527
492	1481	1523
493	1483	1519
494	1484	1514
495	1486	1510
496	1489	1507
497	1491	1503
498	1492	1498
499	1494	1494
500	1496	1490
501	1498	1486
502	1500	1482
503	1502	1478
504	1504	1475
505	1506	1471
506	1508	1466
507	1510	1462
508	1512	1458
509	1513	1454
510	1515	1450
511	1517	1446
512	1519	1442
513	1521	1438
514	1523	1434
515	1525	1430
516	1527	1426
517	1529	1423
518	1532	1420
519	1534	1416
520	1537	1413
521	1538	1409
522	1540	1405
523	1542	1401
524	1544	1397
525	1546	1393
526	1548	1389
527	1550	1386
528	1552	1382
529	1554	1378
530	1555	1373
531	1557	1369
532	1559	1366
533	1560	1362
534	1563	1358
535	1565	1354
536	1566	1351
537	1568	1347
538	1570	1343
539	1572	1339
540	1573	1335
541	1575	1331
542	1578	1328
543	1580	1324
544	1582	1320
545	1584	1317
546	1585	1313
547	1587	1309
548	1588	1305
549	1591	1301
550	1593	1298
551	1595	1294
552	1596	1290
553	1598	1286
554	1600	1283
555	1602	1279
556	1603	1275
557	1605	1272
558	1608	1268
559	1609	1264
560	1611	1260
561	1612	1257
562	1615	1253
563	1616	1249
564	1619	1246
565	1621	1243
566	1623	1240
567	1625	1236
568	1627	1232
569	1628	1228
570	1630	1224
571	1631	1221
572	1633	1217
573	1636	1214
574	1638	1210
575	1639	1207
576	1641	1203
577	1643	1199
578	1645	1196
579	1646	1192
580	1648	1189
581	1651	1185
582	1653	1182
583	1654	1178
584	1656	1175
585	1658	1171
586	1660	1167
587	1661	1164
588	1663	1160
589	1665	1157
590	1667	1154
591	1669	1150
592	1671	1147
593	1673	1143
594	1674	1139
595	1676	1136
596	1678	1132
597	1680	1130
598	1683	1127
599	1685	1123
600	1686	1119
601	1688	1116
602	1690	1113
603	1693	1110
604	1695	1107
605	1697	1103
606	1699	1100
607	1700	1096
608	1702	1093
609	1704	1089
610	1705	1086
611	1707	1082
612	1709	1079
613	1711	1076
614	1713	1072
615	1715	1069
616	1717	1065
617	1718	1062
618	1720	1058
619	1722	1055
620	1724	1052
621	1726	1049
622	1728	1045
623	1730	1042
624	1731	1039
625	1733	1035
626	1734	1032
627	1736	1028
628	1739	1025
629	1741	1022
630	1743	1019
631	1745	1016
632	1746	1012
633	1748	1009
634	1750	1006
635	1752	1002
636	1755	1000
637	1757	996
638	1758	993
639	1760	990
640	1762	987
641	1764	983
642	1765	980
643	1767	977
644	1770	974
645	1772	971
646	1774	968
647	1776	965
648	1778	961
649	1780	958
650	1782	955
651	1784	952
652	1786	949
653	1788	946
654	1789	942
655	1791	939
656	1793	936
657	1795	933
658	1797	930
659	1800	927
660	1802	924
661	1803	921
662	1805	917
663	1807	914
664	1808	911
665	1810	908
666	1813	905
667	1815	902
668	1816	898
669	1818	895
670	1820	892
671	1821	889
672	1823	886
673	1825	882
674	1827	879
675	1830	877
676	1831	873
677	1833	870
678	1834	867
679	1836	864
680	1838	861
681	1839	857
682	1841	854
683	1844	852
684	1846	848
685	1847	845
686	1849	842
687	1851	839
688	1852	836
689	1854	833
690	1856	830
691	1858	827
692	1860	824
693	1862	821
694	1863	817
695	1865	814
696	1867	811
697	1868	808
698	1870	805
699	1872	802
700	1874	799
701	1876	796
702	1878	793
703	1880	790
704	1882	787
705	1883	784
706	1885	781
707	1887	778
708	1889	775
709	1891	772
710	1893	769
711	1894	766
712	1896	763
713	1898	760
714	1899	757
715	1901	754
716	1903	751
717	1905	748
718	1907	745
719	1909	742
720	1910	739
721	1912	736
722	1914	733
723	1916	730
724	1919	727
725	1920	724
726	1922	721
727	1924	719
728	1926	716
729	1927	713
730	1929	710
731	1932	707
732	1934	704
733	1936	701
734	1937	698
735	1939	695
736	1941	692
737	1943	689
738	1945	687
739	1947	684
740	1949	681
741	1951	678
742	1952	675
743	1954	672
744	1956	669
745	1958	666
746	1959	663
747	1962	661
748	1964	658
749	1966	655
750	1968	652
751	1969	649
752	1971	646
753	1973	643
754	1975	641
755	1978	638
756	1980	635
757	1982	632
758	1984	630
759	1986	627
760	1988	624
761	1990	621
762	1992	618
763	1994	616
764	1995	613
765	1997	610
766	1999	607
767	2000	604
768	2002	601
769	2004	598
770	2006	596
771	2008	593
772	2010	590
773	2011	587
774	2013	584
775	2015	581
776	2016	578
777	2018	576
778	2021	573
779	2023	570
780	2024	567
781	2026	564
782	2028	562
783	2030	559
784	2031	556
785	2033	553
786	2036	551
787	2038	548
788	2039	545
789	2041	542
790	2043	539
791	2045	537
792	2046	534
793	2048	531
794	2050	528
795	2053	526
796	2054	523
797	2056	520
798	2057	517
799	2059	514
800	2061	512
801	2063	509
802	2065	506
803	2067	504
804	2069	501
805	2070	498
806	2072	495
807	2074	492
808	2075	490
809	2077	487
810	2079	484
811	2081	481
812	2083	479
813	2084	476
814	2086	473
815	2088	470
816	2089	468
817	2091	465
818	2093	462
819	2095	460
820	2097	457
821	2099	454
822	2101	451
823	2103	449
824	2104	446
825	2106	443
826	2108	441
827	2110	438
828	2112	435
829	2114	433
830	2115	430
831	2117	427
832	2119	424
833	2121	422
834	2122	419
835	2125	416
836	2127	414
837	2129	411
838	2130	408
839	2132	406
840	2134	403
841	2136	400
842	2137	398
843	2140	395
844	2142	392
845	2144	390
846	2145	387
847	2147	384
848	2148	382
849	2150	379
850	2152	376
851	2154	374
852	2156	371
853	2158	368
854	2159	366
855	2161	363
856	2163	360
857	2164	358
858	2166	355
859	2168	353
860	2170	350
861	2172	347
862	2174	345
863	2176	342
864	2178	339
865	2179	337
866	2181	334
867	2183	332
868	2185	329
869	2187	326
870	2188	324
871	2190	321
872	2192	318
873	2194	316
874	2195	313
875	2197	311
876	2199	308
877	2201	305
878	2203	303
879	2204	300
880	2206	297
881	2208	295
882	2209	292
883	2211	290
884	2213	287
885	2215	285
886	2217	282
887	2218	279
888	2220	277
889	2222	274
890	2224	272
891	2226	269
892	2228	266
893	2229	264
894	2231	261
895	2233	259
896	2235	256
897	2236	254
898	2238	251
899	2240	248
900	2242	246
901	2244	243
902	2245	241
903	2247	238
904	2249	236
905	2250	233
906	2252	230
907	2254	228
908	2256	225
909	2258	223
910	2259	220
911	2261	218
912	2262	215
913	2264	213
914	2266	210
915	2268	207
916	2269	205
917	2271	202
918	2273	200
919	2275	197
920	2277	195
921	2279	192
922	2280	190
923	2282	187
924	2283	185
925	2285	182
926	2287	180
927	2289	177
928	2290	175
929	2292	172
930	2294	170
931	2296	167
932	2298	165
933	2299	162
934	2301	159
935	2303	157
936	2304	154
937	2306	152
938	2308	149
939	2309	147
940	2311	144
941	2313	142
942	2314	139
943	2316	137
944	2318	134
945	2320	132
946	2322	129
947	2323	127
948	2325	124
949	2326	122
950	2328	119
951	2330	117
952	2332	115
953	2333	112
954	2335	110
955	2337	107
956	2339	105
957	2341	102
958	2343	100
959	2345	97
960	2347	95
961	2348	92
962	2350	90
963	2352	87
964	2353	85
965	2355	82
966	2357	80
967	2358	77
968	2360	75
969	2362	73
970	2364	70
971	2365	68
972	2367	65
973	2369	63
974	2370	60
975	2372	58
976	2374	55
977	2376	53
978	2377	51
979	2379	48
980	2381	46
981	2383	43
982	2384	41
983	2386	38
984	2388	36
985	2389	33
986	2391	31
987	2393	29
988	2394	26
989	2396	24
990	2398	21
991	2399	19
992	2401	16
993	2403	14
994	2404	12
995	2406	9
996	2408	7
997	2409	4
998	2411	2
999	2413	0
